lemma,pos
simple,a
simplicity,n
simply,adv
simultaneously,adv
sin,n
since,adv
since,conj
since,prep
sincerely,adv
sing,v
singer,n
single,a
single,n
sink,n
sink,v
sip,v
sir,n
sister,n
sit,v
site,n
situate,v
situation,n
size,n
skeleton,n
sketch,n
ski,n
skill,n
skill,v
skilled,a
skin,n
skipper,n
skirt,n
skull,n
sky,n
slab,n
slam,v
slap,v
slave,n
sleep,n
sleep,v
sleeping,a
sleeve,n
slice,n
slide,n
slide,v
slight,a
slightly,adv
slim,a
slip,n
slip,v
slogan,n
slope,n
slot,n
slow,a
slow,v
slowly,adv
slump,v
small,a
smart,a
smash,v
smell,n
smell,v
smile,n
smile,v
smoke,n
smoke,v
smooth,a
smooth,v
smoothly,adv
snake,n
snap,v
snatch,v
sniff,v
snow,n
so,adv
so,conj
so-called,a
soak,v
soap,n
soar,v
soccer,n
social,a
socialism,n
socialist,a
socialist,n
socially,adv
society,n
sociological,a
sociology,n
sock,n
socket,n
sodium,n
sofa,n
soft,a
soften,v
softly,adv
software,n
soil,n
solar,a
soldier,n
sole,a
solely,adv
solicitor,n
solid,a
solidarity,n
solo,n
solution,n
solve,v
solvent,n
some,det
somebody,pron
somehow,adv
someone,pron
something,pron
sometimes,adv
somewhat,adv
somewhere,adv
son,n
song,n
soon,adv
sophisticated,a
sore,a
sorry,a
sort,n
sort,v
soul,n
sound,a
sound,n
sound,v
soup,n
source,n
south,n
southern,a
sovereignty,n
space,n
spare,a
spare,v
spatial,a
speak,v
speaker,n
special,a
specialise,v
specialist,a
specialist,n
specially,adv
species,n
specific,a
specifically,adv
specification,n
specified,a
specify,v
specimen,n
spectacle,n
spectacular,a
spectator,n
spectrum,n
speculation,n
speech,n
speed,n
speed,v
spell,n
spell,v
spelling,n
spend,v
spending,n
sphere,n
spider,n
spill,v
spin,v
spine,n
spirit,n
spiritual,a
spit,v
spite,n
splendid,a
split,n
split,v
spoil,v
spoken,a
spokesman,n
sponsor,n
sponsor,v
sponsorship,n
spontaneous,a
spoon,n
sport,n
spot,n
spot,v
spouse,n
spray,n
spray,v
spread,n
spread,v
spring,n
spring,v
spy,n
squad,n
squadron,n
square,a
square,n
square,v
squeeze,v
stab,v
stability,n
stable,a
stable,n
stadium,n
staff,n
staff,v
stag,v
stage,n
stagger,v
stain,v
stair,n
staircase,n
stake,n
stake,v
stall,n
stamp,n
stamp,v
stance,n
stand,n
stand,v
standard,a
standard,n
standing,n
star,n
star,v
start,n
start,v
startle,v
state,n
state,v
statement,n
static,a
station,n
statistical,a
statistics,n
statue,n
status,n
statute,n
statutory,a
stay,n
stay,v
steadily,adv
steady,a
steal,v
steam,n
steel,n
steep,a
steer,v
stem,n
stem,v
step,n
step,v
sterling,a
steward,n
stick,n
stick,v
sticky,a
stiff,a
still,a
still,adv
stimulate,v
stimulation,n
stimulus,n
stir,v
stitch,n
stock,n
stocking,n
stolen,a
stomach,n
stone,n
stool,n
stop,n
stop,v
storage,n
store,n
store,v
storm,n
storm,v
story,n
straight,a
straight,adv
straighten,v
straightforward,a
strain,n
strain,v
strand,n
strange,a
strangely,adv
stranger,n
strap,n
strategic,a
strategy,n
straw,n
stream,n
street,n
strength,n
strengthen,v
stress,n
stress,v
stretch,n
stretch,v
strict,a
strictly,adv
stride,v
strike,n
strike,v
striker,n
striking,a
string,n
strip,n
strip,v
strive,v
stroke,n
stroke,v
stroll,v
strong,a
strongly,adv
structural,a
structure,n
structure,v
struggle,n
struggle,v
student,n
studio,n
study,n
study,v
stuff,n
stuff,v
stumble,v
stunning,a
stupid,a
style,n
subject,a
subject,n
subject,v
subjective,a
submission,n
submit,v
subscription,n
subsequent,a
subsequently,adv
subsidiary,n
subsidy,n
substance,n
substantial,a
substantially,adv
substantive,a
substitute,n
substitute,v
subtle,a
suburb,n
succeed,v
success,n
successful,a
successfully,adv
succession,n
successive,a
successor,n
such,det
suck,v
sudden,a
suddenly,adv
sue,v
suffer,v
sufferer,n
suffering,n
sufficient,a
sufficiently,adv
sugar,n
suggest,v
suggestion,n
suicide,n
suit,n
suit,v
suitable,a
suitcase,n
suite,n
sulphur,n
sum,n
sum,v
summarise,v
summary,n
summer,n
summit,n
summon,v
sun,n
sunlight,n
sunny,a
sunshine,n
super,a
superb,a
superintendent,n
superior,a
supermarket,n
supervise,v
supervision,n
supervisor,n
supper,n
supplement,n
supplement,v
supplementary,a
supplier,n
supply,n
supply,v
support,n
support,v
supporter,n
supporting,a
suppose,v
supposed,a
supposedly,adv
suppress,v
supreme,a
sure,a
sure,adv
surely,adv
surface,n
surgeon,n
surgery,n
surplus,a
surplus,n
surprise,n
surprise,v
surprised,a
surprising,a
surprisingly,adv
surrender,v
surround,v
surrounding,a
surrounding,n
survey,n
survey,v
surveyor,n
survival,n
survive,v
survivor,n
suspect,n
suspect,v
suspend,v
suspension,n
suspicion,n
suspicious,a
sustain,v
swallow,v
swap,v
sway,v
swear,v
sweat,n
sweep,v
sweet,a
sweet,n
swell,v
swift,a
swiftly,adv
swim,v
swimming,n
swing,n
swing,v
switch,n
switch,v
sword,n
syllable,n
symbol,n
symbolic,a
symmetry,n
sympathetic,a
sympathy,n
symptom,n
syndrome,n
syntactic,a
synthesis,n
system,n
systematic,a
t-shirt,n
table,n
tablet,n
tackle,v
tactic,n
tail,n
take,v
takeover,n
tale,n
talent,n
talented,a
talk,n
talk,v
talking,n
tall,a
tank,n
tap,n
tap,v
tape,n
target,n
target,v
tariff,n
task,n
taste,n
taste,v
tax,n
tax,v
taxation,n
taxi,n
taxpayer,n
tea,n
teach,v
teacher,n
teaching,n
team,n
tear,n
tear,v
tease,v
technical,a
technically,adv
technique,n
technological,a
technology,n
teenage,a
teenager,n
telecommunication,n
telephone,n
telephone,v
television,n
tell,v
telly,n
temper,n
temperature,n
temple,n
temporarily,adv
temporary,a
tempt,v
temptation,n
tenant,n
tend,v
tendency,n
tender,a
tennis,n
tense,a
tension,n
tent,n
term,n
term,v
terminal,a
terminal,n
terminate,v
terms,n
terrace,n
terrible,a
terribly,adv
terrify,v
territorial,a
territory,n
terror,n
terrorist,n
test,n
test,v
testament,n
testing,n
text,n
textbook,n
textile,n
texture,n
than,conj
thank,v
thanks,n
that,adv
that,conj
that,det
the,det
theatre,n
theft,n
their,det
theirs,pron
them,pron
theme,n
themselves,pron
then,adv
theology,n
theoretical,a
theorist,n
theory,n
therapist,n
therapy,n
there,adv
there,pron
thereafter,adv
thereby,adv
therefore,adv
these,det
thesis,n
they,pron
thick,a
thick,adv
thief,n
thigh,n
thin,a
thing,n
think,v
thinking,a
thinking,n
this,adv
this,det
thorough,a
thoroughly,adv
those,det
though,adv
though,conj
thought,n
thread,n
threat,n
threaten,v
threshold,n
throat,n
throne,n
through,adv
through,prep
throughout,prep
throw,v
thrust,n
thrust,v
thumb,n
thus,adv
tick,v
ticket,n
tide,n
tie,n
tie,v
tiger,n
tight,a
tight,adv
tighten,v
tightly,adv
tile,n
till,conj
till,prep
timber,n
time,n
time,v
timetable,n
timing,n
tin,n
tiny,a
tip,n
tip,v
tired,a
tissue,n
title,n
to,adv
to,infinitive-marker
to,prep
toast,n
tobacco,n
today,adv
toe,n
together,adv
toilet,n
tolerate,v
toll,n
tomato,n
tomorrow,adv
ton,n
tone,n
tongue,n
tonight,adv
tonne,n
too,adv
tool,n
tooth,n
top,a
top,n
top,v
topic,n
torch,n
toss,v
total,a
total,n
total,v
totally,adv
touch,n
touch,v
tough,a
tour,n
tour,v
tourism,n
tourist,n
tournament,n
toward,prep
towards,prep
towel,n
tower,n
town,n
toxic,a
toy,n
trace,n
trace,v
track,n
track,v
tract,n
trade,n
trade,v
trader,n
trading,a
trading,n
tradition,n
traditional,a
traditionally,adv
traffic,n
tragedy,n
tragic,a
trail,n
trail,v
train,n
train,v
trained,a
trainee,n
trainer,n
training,n
trait,n
transaction,n
transcription,n
transfer,n
transfer,v
transform,v
transformation,n
transition,n
translate,v
translation,n
transmission,n
transmit,v
transport,n
transport,v
trap,n
trap,v
travel,n
travel,v
traveller,n
tray,n
tread,v
treasure,n
treasurer,n
treasury,n
treat,n
treat,v
treatment,n
treaty,n
tree,n
tremble,v
tremendous,a
trench,n
trend,n
trial,n
triangle,n
tribe,n
tribunal,n
tribute,n
trick,n
trigger,v
trip,n
trip,v
triumph,n
trivial,a
trolley,n
troop,n
trophy,n
tropical,a
trouble,n
trouble,v
trouser,n
truck,n
true,a
truly,adv
trunk,n
trust,n
trust,v
trustee,n
truth,n
try,n
try,v
tube,n
tuck,v
tumble,v
tumour,n
tune,n
tune,v
tunnel,n
turkey,n
turn,n
turn,v
turnover,n
tutor,n
twice,adv
twin,n
twist,n
twist,v
type,n
typical,a
typically,adv
tyre,n
ugly,a
ulcer,n
ultimate,a
ultimately,adv
umbrella,n
unable,a
unacceptable,a
unaware,a
uncertain,a
uncertainty,n
unchanged,a
uncle,n
unclear,a
uncomfortable,a
unconscious,a
uncover,v
under,adv
under,prep
undergo,v
underground,a
underline,v
underlying,a
undermine,v
underneath,adv
underneath,prep
understand,v
understandable,a
understanding,n
undertake,v
undertaking,n
undoubtedly,adv
uneasy,a
unemployed,a
unemployment,n
unexpected,a
unexpectedly,adv
unfair,a
unfamiliar,a
unfortunate,a
unfortunately,adv
unhappy,a
uniform,a
uniform,n
union,n
unionist,n
unique,a
unit,n
unite,v
united,a
unity,n
universal,a
universe,n
university,n
unknown,a
unlawful,a
unless,conj
unlike,a
unlike,prep
unlikely,a
unnecessary,a
unpleasant,a
unprecedented,a
unreasonable,a
unrest,n
unsuccessful,a
until,conj
until,prep
unusual,a
unusually,adv
unwanted,a
unwilling,a
up,adv
up,prep
up-to-date,a
update,v
upgrade,v
uphold,v
upon,prep
upper,a
upset,a
upset,v
upstairs,adv
upstairs,n
upwards,adv
urban,a
urge,n
urge,v
urgency,n
urgent,a
urgently,adv
urine,n
us,pron
usage,n
use,n
use,v
used,a
used,modal
useful,a
useless,a
user,n
usual,a
usually,adv
utility,n
utter,v
utterance,n
utterly,adv
vacant,a
vacuum,n
vague,a
vaguely,adv
valid,a
validity,n
valley,n
valuable,a
valuation,n
value,n
value,v
valve,n
van,n
vanish,v
variable,a
variable,n
variant,n
variation,n
varied,a
variety,n
various,a
vary,v
varying,a
vast,a
vat,n
vector,n
vegetable,n
vegetation,n
vehicle,n
vein,n
velocity,n
velvet,n
vendor,n
venture,n
venture,v
venue,n
verb,n
verbal,a
verdict,n
verse,n
version,n
versus,prep
vertical,a
very,a
very,adv
vessel,n
veteran,n
via,prep
viable,a
vicar,n
vice-president,n
vicious,a
victim,n
victory,n
video,n
video-taped,a
view,n
view,v
viewer,n
viewpoint,n
vigorous,a
villa,n
village,n
villager,n
violation,n
violence,n
violent,a
virgin,n
virtual,a
virtually,adv
virtue,n
virus,n
visible,a
vision,n
visit,n
visit,v
visitor,n
visual,a
vital,a
vitamin,n
vivid,a
vocabulary,n
vocational,a
voice,n
voltage,n
volume,n
voluntary,a
volunteer,n
volunteer,v
vote,n
vote,v
voter,n
voucher,n
voyage,n
vulnerable,a
wage,n
wagon,n
waist,n
wait,v
waiter,n
waiting,a
waiting,n
wake,n
wake,v
walk,n
walk,v
walker,n
walking,a
wall,n
wander,v
want,n
want,v
war,n
ward,n
wardrobe,n
warehouse,n
warm,a
warm,v
warmth,n
warn,v
warning,n
warrant,n
warranty,n
warrior,n
wartime,n
wary,a
wash,n
wash,v
washing,n
waste,a
waste,n
waste,v
watch,n
watch,v
water,n
wave,n
wave,v
way,n
we,pron
weak,a
weaken,v
weakness,n
wealth,n
wealthy,a
weapon,n
wear,v
weather,n
weave,v
wedding,n
wee,a
weed,n
week,n
weekend,n
weekly,a
weep,v
weigh,v
weight,n
weird,a
welcome,a
welcome,n
welcome,v
welfare,n
well,a
well,adv
well,interjection
well,n
well-known,a
west,n
western,a
wet,a
wet,v
whale,n
what,det
whatever,det
whatsoever,det
wheat,n
wheel,n
when,adv
when,conj
whenever,adv
where,adv
where,conj
whereas,conj
whereby,adv
wherever,adv
whether,conj
which,det
whichever,det
while,conj
while,n
whilst,conj
whip,n
whip,v
whisky,n
whisper,n
whisper,v
white,a
white,n
who,pron
whoever,pron
whole,a
whole,n
wholly,adv
whom,pron
whose,det
why,adv
wicked,a
wicket,n
wide,a
wide,adv
widely,adv
widen,v
widespread,a
widow,n
width,n
wife,n
wild,a
wildlife,n
wildly,adv
will,modal
will,n
will,v
willing,a
willingness,n
win,n
win,v
wind,n
wind,v
window,n
wine,n
wing,n
winner,n
winning,a
winter,n
wipe,v
wire,n
wisdom,n
wise,a
wish,n
wish,v
wit,n
witch,n
with,prep
withdraw,v
withdrawal,n
within,adv
within,prep
without,prep
witness,n
witness,v
wolf,n
woman,n
wonder,n
wonder,v
wonderful,a
wood,n
wooden,a
woodland,n
wool,n
word,n
wording,n
work,n
work,v
worker,n
workforce,n
working,a
working,n
working-class,a
workplace,n
works,n
workshop,n
workstation,n
world,n
worldwide,a
worldwide,adv
worm,n
worried,a
worry,n
worry,v
worrying,a
worse,adv
worship,n
worth,n
worth,prep
worthwhile,a
worthy,a
would,modal
wound,n
wound,v
wrap,v
wrist,n
write,v
writer,n
writing,n
written,a
wrong,a
wrong,adv
wrong,n
x-ray,n
yacht,n
yard,n
yarn,n
ye,pron
yeah,interjection
year,n
yell,v
yellow,a
yep,interjection
yes,interjection
yesterday,adv
yet,adv
yield,n
yield,v
you,pron
young,a
youngster,n
your,det
yours,pron
yourself,pron
youth,n
zone,n
